,ClientID,AgeEntry,AgeExit,Gender,Race,Ethnicity,Veteran
143,194903,32.0,32.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
144,157272,27.0,27.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
145,322709,23.0,23.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
146,409587,55.0,55.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
147,402258,40.0,41.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
148,3953,64.0,64.0,Male,Black or African American (HUD),Client refused (HUD),No (HUD)
149,409686,77.0,77.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
150,207787,37.0,38.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
151,157088,56.0,56.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
152,160586,41.0,41.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
153,300905,30.0,30.0,Trans Female (MTF or Male to Female),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
154,262238,19.0,19.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
155,408051,28.0,28.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
156,403469,61.0,61.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
157,409782,55.0,55.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
158,409781,38.0,39.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
159,314853,54.0,55.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
160,190642,68.0,68.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
161,76511,47.0,47.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
162,90711,63.0,63.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
163,157473,53.0,53.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
164,371777,36.0,36.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
165,346065,51.0,51.0,Male,White (HUD),Hispanic/Latino (HUD),No (HUD)
166,280218,44.0,44.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
167,406433,19.0,19.0,Female,Black or African American (HUD),Hispanic/Latino (HUD),No (HUD)
168,385899,51.0,51.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
169,410002,28.0,28.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
170,214022,55.0,56.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
171,344699,53.0,53.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
172,344697,46.0,47.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
173,300905,30.0,30.0,Trans Female (MTF or Male to Female),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
174,273104,65.0,65.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
175,409923,33.0,33.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
176,278004,43.0,43.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
177,409062,34.0,35.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
178,410000,47.0,47.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
179,404217,25.0,25.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
180,299942,54.0,54.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
181,123122,51.0,51.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
182,390302,47.0,47.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
183,399969,31.0,31.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
184,124817,56.0,56.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
185,262238,19.0,19.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
186,410222,28.0,28.0,Male,White (HUD),Hispanic/Latino (HUD),No (HUD)
187,180383,44.0,44.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
188,210475,69.0,70.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
189,181734,53.0,53.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
190,271159,28.0,28.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
191,88282,59.0,59.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
192,381470,58.0,58.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
193,299942,54.0,54.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
194,294505,47.0,47.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
195,365130,23.0,23.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
196,399024,50.0,50.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
197,401630,23.0,23.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
198,320781,41.0,41.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
199,184306,58.0,58.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
200,387703,39.0,39.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
201,123882,66.0,66.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
202,410574,53.0,53.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
203,401630,23.0,23.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
204,400528,20.0,20.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
205,410575,42.0,42.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
206,330427,68.0,68.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
207,223445,32.0,32.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
208,172032,25.0,25.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
209,299942,54.0,54.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
210,2054,62.0,62.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
211,219392,29.0,30.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
212,335050,45.0,45.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
213,411383,57.0,57.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
214,198791,37.0,37.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
215,65139,41.0,41.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
216,174808,59.0,59.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
217,394031,41.0,41.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
218,389214,20.0,20.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
219,404041,44.0,44.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
220,139131,62.0,63.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
221,411376,49.0,49.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
222,365130,23.0,23.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
223,403186,22.0,22.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
224,181734,53.0,53.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
225,411381,52.0,52.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
226,90711,63.0,63.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
227,169662,40.0,41.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
228,411378,25.0,25.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
229,385332,41.0,41.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
230,330427,68.0,68.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
231,365130,23.0,23.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
232,403936,37.0,37.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
233,389214,20.0,20.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
234,2416,48.0,48.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
235,411485,36.0,36.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
236,320781,41.0,41.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
237,157272,27.0,27.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
238,405094,52.0,52.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
239,143061,60.0,60.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
240,402130,51.0,51.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
241,219979,40.0,40.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
242,411382,23.0,23.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
243,280218,44.0,44.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
244,411380,35.0,36.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
245,411386,49.0,49.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
246,406433,19.0,19.0,Female,Black or African American (HUD),Hispanic/Latino (HUD),No (HUD)
247,355911,48.0,48.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
248,398931,51.0,51.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
249,401630,23.0,24.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
250,392703,43.0,43.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
251,129280,55.0,55.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
252,231530,40.0,40.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
253,214022,56.0,56.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
254,411775,30.0,30.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
255,385332,41.0,42.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
256,223222,47.0,47.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
257,397646,58.0,59.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
258,411844,30.0,30.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
259,299695,57.0,57.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
260,223445,32.0,32.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
261,411746,57.0,57.0,Male,White (HUD),Hispanic/Latino (HUD),No (HUD)
262,172046,55.0,55.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
263,381470,58.0,58.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
264,404041,44.0,44.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
265,223222,47.0,47.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
266,188933,42.0,42.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
